time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Plot,Shapes,RSI,MF
1539475200,6332.92,6416,6308,6339.34,6439.420264122504,6522.5187986961455,6615.655800000003,7213.052850000003,15627.411314,25771.73286109998,-124.0697249999983,0,40.82590418679199,0.07703532768662054
1539561600,6339.34,7680,6300,6752.5,6502.036211298003,6539.554443237172,6616.705800000004,7211.364650000003,90748.031246,28294.08295079998,-129.9444071428555,0,57.96210422479267,0.018805486753504363
1539648000,6752.5,6900,6670,6759.27,6553.482969038402,6555.829669664048,6613.718400000004,7210.959850000003,27557.957764,27997.753735499988,-134.32063571428415,0,58.175834115832366,0.010492032315635271
1539734400,6762.76,6811.12,6676.01,6740.89,6590.964375230722,6569.5378422815265,6607.014000000005,7210.044750000004,26641.431379,27675.453889599983,-120.68428571428396,0,57.3237153150509,-0.028039748953430872
1539820800,6739.01,6796,6567,6618.96,6596.563500184578,6573.198742853266,6598.7688000000035,7209.074500000004,20116.521941,26561.307560499983,-133.1227392857126,0,51.89346387460008,-0.024689456749765065
1539907200,6618.96,6648.14,6523,6528.88,6583.0268001476625,6569.915873012283,6589.649600000004,7206.438900000004,20772.60077,26087.139613999985,-162.53163571428422,0,48.25646161935158,-0.09239600388811058
1539993600,6528.88,6617.65,6505.55,6588.4,6584.10144011813,6571.285067603965,6581.193400000005,7202.354850000003,19240.722247,25660.93950039999,-173.75417499999855,0,50.714395660022326,-0.10038720532895704
1540080000,6585.72,6663.9,6580,6590.11,6585.303152094504,6572.679507040709,6568.995400000003,7201.324900000003,6515.357792,24955.632045299986,-182.66919999999863,0,50.786724956213135,-0.1252649556099389
1540166400,6590.12,6639,6535.27,6581.2,6584.4825216756035,6573.3106546673225,6554.579200000004,7200.377100000004,16213.69266,24354.02617389999,-198.72718214285578,0,50.37191526520133,-0.09943190224540874
1540252800,6581.2,6595,6515.45,6553.51,6578.288017340483,6571.84393950678,6540.389000000003,7200.137700000005,13856.601756,23624.257804799992,-219.09198214285587,0,49.03160684058747,-0.1245152023230899
1540339200,6553.51,6630,6547.53,6565.5,6575.730413872387,6571.374018061833,6524.517800000002,7198.486200000005,11951.543977,23218.119962749992,-226.16198928571308,0,49.65626529763558,-0.1534083337543669
1540425600,6566.81,6575.09,6502.8,6528.09,6566.202331097909,6568.167794501697,6521.079600000002,7196.036650000004,10342.701244,22930.42740534999,-231.97150714285584,0,47.69225939867237,-0.16922508206125403
1540512000,6528.13,6600,6515.01,6538.63,6560.687864878328,6565.979809723794,6521.532000000003,7194.816200000005,9443.504156,22855.62734359999,-235.05113214285583,0,48.31254467541996,-0.17065008877903284
1540598400,6538.63,6558.35,6463.04,6505.6,6549.670291902662,6561.507231225734,6523.7332000000015,7193.124700000003,7776.907864,22374.13114869999,-238.49134642857013,0,46.45347212655794,-0.19834314863506808
1540684800,6505.6,6514.17,6453,6489.93,6537.7222335221295,6556.205214097902,6529.830800000002,7190.805400000004,5743.933728,21505.15685804999,-234.37461428571294,0,45.55780967610165,-0.22173939047960953
1540771200,6489.93,6505.01,6315,6344.5,6499.077786817704,6540.523346386946,6531.704600000001,7182.912900000004,13827.224067,21428.779087949988,-257.62228214285585,0,38.197006481184644,-0.25430084624525173
